Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFI39_RS09420, WP_052755511.1, , 1350.0, 33, 0.43, 20.10, 113.53
FFI39_RS24955, WP_082127731.1, , 1137.3, 28, 0.36, 20.24, 96.8466
FFI39_RS05865, WP_046683509.1, , 760.0, 13, 0.24, 14.06, 41.2985
FFI39_RS24465, , , 136.0, 12, 0.04, 72.54, 57.7732
FFI39_RS09000, WP_046682311.1, , 1173.3, 11, 0.37, 7.71, 28.7389
FFI39_RS21460, WP_082127894.1, , 730.0, 11, 0.23, 12.39, 33.8304
FFI39_RS22130, WP_082127927.1, , 1100.7, 11, 0.35, 8.22, 29.4205
FFI39_RS00360, WP_046683214.1, , 818.0, 10, 0.26, 10.05, 28.8527
FFI39_RS15575, WP_035818984.1, , 348.0, 10, 0.11, 23.62, 37.2642
FFI39_RS21665, WP_046685791.1, , 747.7, 10, 0.24, 11.00, 29.7311
FFI39_RS22140, WP_046685856.1, , 2427.0, 10, 0.77, 3.39, 18.4383
FFI39_RS07540, WP_034759763.1, , 246.0, 9, 0.08, 30.08, 35.8475
FFI39_RS09600, WP_138829039.1, fdhD, 669.7, 9, 0.21, 11.05, 26.9545
FFI39_RS09990, WP_046682449.1, , 1251.0, 9, 0.40, 5.91, 21.4958
FFI39_RS18690, WP_046684081.1, tssF, 1429.7, 9, 0.45, 5.18, 20.3448
FFI39_RS18805, WP_046684608.1, , 1097.3, 9, 0.35, 6.74, 22.632
FFI39_RS05155, WP_046683529.1, , 376.0, 8, 0.12, 17.49, 27.739
FFI39_RS06000, WP_046682552.1, , 362.7, 8, 0.11, 18.13, 28.0234
FFI39_RS08545, WP_034751575.1, clpA, 1749.7, 8, 0.55, 3.76, 15.8231
FFI39_RS10240, WP_046682487.1, , 893.3, 8, 0.28, 7.36, 20.9616
FFI39_RS12025, WP_046683697.1, , 1154.7, 8, 0.37, 5.70, 18.9814
FFI39_RS13100, WP_046684935.1, psd, 731.7, 8, 0.23, 8.99, 22.5126
FFI39_RS20940, WP_046685708.1, hflX, 1013.7, 8, 0.32, 6.49, 19.9838
FFI39_RS21295, WP_144295918.1, , 6200.0, 8, 1.96, 1.06, 6.93494
FFI39_RS25350, WP_046684288.1, , 2007.7, 8, 0.64, 3.28, 14.7948
FFI39_RS00585, WP_046683189.1, , 544.7, 7, 0.17, 10.56, 20.9814
FFI39_RS07225, WP_046685339.1, , 1391.0, 7, 0.44, 4.14, 14.652
FFI39_RS11075, WP_046684822.1, , 1035.0, 7, 0.33, 5.56, 16.6233
FFI39_RS11130, WP_034755064.1, pstC, 855.7, 7, 0.27, 6.73, 17.9055
FFI39_RS14445, WP_046685130.1, , 2704.0, 7, 0.86, 2.13, 10.3592
FFI39_RS17585, WP_046683002.1, , 622.0, 7, 0.20, 9.25, 20.0738
FFI39_RS00970, WP_046681749.1, , 709.0, 6, 0.22, 6.96, 15.7371
FFI39_RS02490, WP_046681966.1, , 727.0, 6, 0.23, 6.78, 15.5916
FFI39_RS04695, WP_046683507.1, , 1234.3, 6, 0.39, 4.00, 12.5524
FFI39_RS05100, WP_034749221.1, , 1140.7, 6, 0.36, 4.32, 13.0004
FFI39_RS05870, WP_046683342.1, , 980.0, 6, 0.31, 5.03, 13.8681
FFI39_RS09440, WP_046682361.1, , 589.3, 6, 0.19, 8.37, 16.8143
FFI39_RS12285, WP_046683729.1, , 1289.0, 6, 0.41, 3.83, 12.307
FFI39_RS12555, WP_052755829.1, , 865.3, 6, 0.27, 5.70, 14.584
FFI39_RS00255, WP_046683226.1, , 2211.3, 5, 0.70, 1.86, 7.14988
FFI39_RS00610, WP_046683186.1, , 1167.7, 5, 0.37, 3.52, 10.071
FFI39_RS06460, WP_046685439.1, , 1018.7, 5, 0.32, 4.04, 10.7146
FFI39_RS11040, WP_046684755.1, sbcD, 986.3, 5, 0.31, 4.17, 10.8677
FFI39_RS14220, WP_052755850.1, , 912.3, 5, 0.29, 4.51, 11.2383
FFI39_RS14950, WP_082127831.1, , 902.0, 5, 0.29, 4.56, 11.2924
FFI39_RS16460, WP_046682839.1, , 1929.3, 5, 0.61, 2.13, 7.75884
FFI39_RS17240, WP_046682952.1, , 1003.3, 5, 0.32, 4.10, 10.7867
FFI39_RS17555, WP_046682998.1, , 781.7, 5, 0.25, 5.26, 11.9766
FFI39_RS18485, WP_034751910.1, , 430.3, 5, 0.14, 9.55, 14.8693
FFI39_RS21015, WP_138829172.1, , 1514.7, 5, 0.48, 2.71, 8.86067
FFI39_RS21515, WP_046685776.1, , 687.0, 5, 0.22, 5.98, 12.5974
FFI39_RS21910, WP_046685828.1, , 535.3, 5, 0.17, 7.68, 13.8051
FFI39_RS22705, WP_034754070.1, flgG, 649.3, 5, 0.21, 6.33, 12.8697
FFI39_RS23515, WP_082127912.1, , 1445.0, 5, 0.46, 2.84, 9.07804
FFI39_RS23650, WP_046686060.1, , 1129.3, 5, 0.36, 3.64, 10.2282
FFI39_RS26785, WP_046684672.1, , 1445.3, 5, 0.46, 2.84, 9.07709
FFI39_RS01285, WP_046681798.1, , 364.0, 4, 0.12, 9.03, 11.9141
FFI39_RS02160, WP_046681918.1, , 1614.3, 4, 0.51, 2.04, 6.26929
FFI39_RS03250, WP_046682104.1, , 562.0, 4, 0.18, 5.85, 10.2266
FFI39_RS06815, WP_046685391.1, , 1531.0, 4, 0.48, 2.15, 6.46049
FFI39_RS07115, WP_138828908.1, , 292.7, 4, 0.09, 11.23, 12.7682
FFI39_RS08045, WP_082127584.1, , 482.0, 4, 0.15, 6.82, 10.8207
FFI39_RS09560, WP_034759072.1, , 255.0, 4, 0.08, 12.90, 13.3102
FFI39_RS19565, WP_034749647.1, plsX, 926.7, 4, 0.29, 3.55, 8.31772
FFI39_RS20895, WP_046685703.1, , 1151.7, 4, 0.36, 2.86, 7.50459
FFI39_RS21160, WP_058049196.1, , 858.3, 4, 0.27, 3.83, 8.60727
FFI39_RS21505, WP_046685775.1, , 967.3, 4, 0.31, 3.40, 8.15638
FFI39_RS22925, WP_034754156.1, , 1051.7, 4, 0.33, 3.13, 7.84289
FFI39_RS25935, WP_046684383.1, , 902.0, 4, 0.29, 3.65, 8.41959
FFI39_RS26165, WP_035822563.1, , 1086.0, 4, 0.34, 3.03, 7.72311
FFI39_RS26495, WP_034745752.1, , 1015.3, 4, 0.32, 3.24, 7.97468
FFI39_RS26890, WP_046684675.1, , 1503.3, 4, 0.48, 2.19, 6.52663
FFI39_RS00805, , , 160.0, 3, 0.05, 15.41, 10.7787
FFI39_RS05855, WP_034748811.1, zapD, 639.7, 3, 0.20, 3.86, 6.73436
FFI39_RS08385, WP_046682604.1, , 516.3, 3, 0.16, 4.78, 7.34828
FFI39_RS09120, WP_046682323.1, tolQ, 568.3, 3, 0.18, 4.34, 7.07263
FFI39_RS10880, , , 133.0, 3, 0.04, 18.54, 11.3268
FFI39_RS11450, WP_046683610.1, , 778.3, 3, 0.25, 3.17, 6.17855
FFI39_RS12830, WP_046685514.1, flgH, 499.0, 3, 0.16, 4.94, 7.44645
FFI39_RS19450, , , 131.0, 3, 0.04, 18.83, 11.3718
FFI39_RS20480, WP_034779551.1, , 547.7, 3, 0.17, 4.50, 7.17855
FFI39_RS21100, WP_052755914.1, , 350.0, 3, 0.11, 7.05, 8.47534
FFI39_RS24115, WP_034747863.1, , 648.0, 3, 0.21, 3.81, 6.69764
