Identifier, Size, 2C1, 2C2, 2C3, 2C4, 2C5
CCNA_00001, 673.0, , , , , 
CCNA_00002, 438.3, , , , , 
CCNA_00003, 617.7, , , , , 
CCNA_00004, 444.3, , , , , 
CCNA_00005, 578.0, , , , , 
CCNA_00006, 691.3, , , , , 
CCNA_00007, 205.7, , , , , 
CCNA_00008, 1198.0, , , , , 
CCNA_00009, 557.0, , , , , 
CCNA_00010, 1541.7, , , , , 
CCNA_00011, 974.3, , , , , 
CCNA_00012, 2070.7, , , , , 
CCNA_00013, 2118.3, , , , , 
CCNA_00014, 350.7, , , , , 
CCNA_00015, 408.3, , , , , 
CCNA_00016, 332.3, , , , , 
CCNA_00017, 174.0, , , , , 
CCNA_00018, 802.3, , , , , 
CCNA_00019, 452.3, , , , , 
CCNA_00020, 165.3, , , , , 
CCNA_00021, 1602.0, 400:1:0.0574713, , , , 
CCNA_00022, 480.3, , , , , 
CCNA_00023, 328.0, , , , , 
CCNA_00024, 662.7, , , , , 
CCNA_00025, 1293.0, , , , 300:3:0.724551;400:1:0.00574713, 
CCNA_00026, 2088.0, , , , , 400:1:0.0344828
CCNA_00027, 587.0, , , , , 
CCNA_00028, 1758.0, , 300:1:0.0714286, , 500:3:0.168539, 
CCNA_00029, 565.0, , , , , 
CCNA_00030, 601.7, , , , , 
CCNA_00031, 279.0, , , , , 
CCNA_00032, 281.3, , , , , 
CCNA_00033, 1679.3, , , 200:1:0.0159574;200:1:0;200:1:0.0163043, , 
CCNA_00034, 212.3, , , , , 
CCNA_00035, 690.3, , , , , 
CCNA_00036, 430.7, , , , , 
CCNA_00037, 636.7, , , , , 
CCNA_00038, 417.7, , , , , 
CCNA_00039, 415.7, , , , , 
CCNA_00040, 489.7, , , , , 400:3:0.0857143
CCNA_00041, 2285.7, , , , 400:1:0.0625, 
CCNA_00042, 474.7, , , , , 
CCNA_00043, 1224.0, , 300:3:0.207921;500:1:0.0434783, , , 
CCNA_00044, 528.0, , , , , 
CCNA_00045, 512.7, , , , , 
CCNA_00046, 396.0, , , , , 
CCNA_00047, 584.7, , , , , 
CCNA_00048, 978.3, , , , , 
CCNA_00049, 351.7, , , , , 
CCNA_00050, 1189.0, , , , , 
CCNA_00051, 689.3, , , , , 
CCNA_00052, 376.0, , , , , 
CCNA_00053, 695.3, , , , , 
CCNA_00054, 1088.7, , , , , 
CCNA_00055, 346.7, , , , , 
CCNA_00056, 342.7, , , , , 
CCNA_00057, 476.0, , , , , 
CCNA_00058, 560.3, , 300:1:0.0853659;300:3:0.106667, , , 
CCNA_00059, 498.0, , , , , 
CCNA_00060, 520.7, , , , , 
CCNA_00061, 991.7, , , , , 
CCNA_00062, 826.7, , , , , 
CCNA_00063, 1261.7, , 100:1:0.0437956, , , 
CCNA_00064, 1402.3, 500:3:0.0636943, , , , 
CCNA_00065, 624.3, , , , , 
CCNA_00066, 270.0, , , , , 
CCNA_00067, 226.0, , , , , 
CCNA_00068, 739.7, 700:1:0.0206897, 700:3:0.157895, , , 
CCNA_00069, 871.3, , , , , 
CCNA_00070, 707.0, , , , , 
CCNA_00071, 496.7, , , , , 
CCNA_00072, 687.0, , 400:3:0.0909091, , , 300:3:0.114754
CCNA_00073, 1119.0, 300:3:0.12987, , , , 
CCNA_00074, 1629.3, , , , , 
CCNA_00075, 947.3, , , , , 
CCNA_00076, 280.0, , , , , 
CCNA_00077, 863.3, , , , , 
CCNA_00078, 1396.7, , 300:1:0, , 500:3:0.186275, 
CCNA_00079, 453.3, , 500:1:0;500:1:0;500:1:0.0416667, , , 
CCNA_00080, 563.0, , , , , 
CCNA_00081, 253.7, , , , , 
CCNA_00082, 1304.7, , , , , 
CCNA_00083, 1288.7, , , , , 
CCNA_00084, 1285.3, , 300:3:0.1, , 500:1:0.0731707, 400:1:0.0666667
CCNA_00085, 577.3, , , , , 
CCNA_00086, 3672.0, , , , , 
CCNA_00087, 944.0, , , , , 
CCNA_00088, 1139.7, , , , , 
CCNA_00089, 1871.0, , , , , 
CCNA_00090, 830.0, , , , , 
CCNA_00091, 676.3, , , , , 
CCNA_00092, 743.7, , , , , 
CCNA_00093, 232.7, , , , , 
CCNA_00094, 768.7, , , , , 
CCNA_00095, 796.7, , , , , 
CCNA_00096, 649.3, , , , , 
CCNA_00097, 384.0, , , , 500:3:0.0952381, 
CCNA_00098, 220.0, , , , , 
CCNA_00099, 1267.0, 700:1:0.0493827, , , , 
CCNA_00100, 586.0, , , , , 
CCNA_00101, 1034.0, , 500:1:0.0434783, , , 
CCNA_00102, 180.0, , , , , 
CCNA_00103, 1337.0, , , , , 
CCNA_00104, 608.0, , , , , 
CCNA_00105, 516.0, , , , , 
CCNA_00106, 967.7, , , , 500:1:0.0481928, 
CCNA_00107, 158.3, , , , , 
CCNA_00108, 509.7, , , , , 
CCNA_00109, 750.0, , , , , 
CCNA_00110, 452.7, , , , , 
CCNA_00111, 585.0, , , , , 
CCNA_00112, 293.3, , , , , 
CCNA_00113, 500.7, , , , , 
CCNA_00114, 232.0, , , , , 
CCNA_00115, 2581.7, 500:3:0.153061, 500:3:0.0736842;500:3:0.0537634, , , 500:3:0.142857
CCNA_00116, 1092.3, , , , , 
CCNA_00117, 1412.7, , , , , 
CCNA_00118, 1697.7, , , , , 
CCNA_00119, 341.3, , , , , 
CCNA_00120, 379.3, , , , , 
CCNA_00121, 345.0, , , , , 
CCNA_00122, 374.0, , , , , 
CCNA_00123, 590.3, , , , , 
CCNA_00124, 512.3, , , , , 
CCNA_00125, 509.0, , , , , 
CCNA_00126, 409.3, , , , , 
CCNA_00127, 253.3, , 600:3:0.123077;600:3:0.169231;600:3:0.153846;600:3:0.148148;600:3:0.192982, , , 400:1:0;400:1:0.0487805
CCNA_00128, 983.3, , , , , 
CCNA_00129, 272.0, , , , , 
CCNA_00130, 1595.7, , , , , 
CCNA_00131, 406.7, , , , , 
CCNA_00132, 687.0, , , , , 
CCNA_00133, 1012.7, , , , , 
CCNA_00134, 398.3, , , , , 
CCNA_00135, 622.0, , , , , 
CCNA_00136, 1288.3, , , , , 
CCNA_00137, 1236.3, , , , , 
CCNA_00138, 1724.7, , , , , 
CCNA_00139, 1278.3, , , , , 
CCNA_00140, 764.7, , , , , 400:1:0.0740741
CCNA_00141, 593.7, , 400:3:0.0847458, , , 
